"Method","Time (ms)","Own Time (ms)"
"mb.nabl2.terms.unification.u.PersistentUnifier$Transient.addDomainVar(ITermVar) PersistentUnifier.java","1963","109"
"mb.nabl2.terms.build.AAppl3Term.match(ITerm$Cases) AAppl3Term.java","1961","35"
"mb.statix.constraints.CConj.unsafeApply(ISubstitution$Immutable) CConj.java","1951","67"
"mb.nabl2.terms.substitution.PersistentSubstitution.apply(ITerm) PersistentSubstitution.java","1935","337"
"mb.p_raffrayi.impl.AbstractUnit.isComplete(Object, EdgeOrData, IActorRef) AbstractUnit.java","1931","17"
"java.util.HashMap.put(Object, Object) HashMap.java","1910","1554"
"mb.statix.concurrent.StatixSolver$$Lambda$1033.apply()","1849","10"
"mb.statix.concurrent.StatixSolver$1.lambda$9(IResolveQuery, ITerm, Set, Throwable, int) StatixSolver.java","1841","42"
"mb.statix.concurrent.StatixSolver$1$$Lambda$927.k(Object, Throwable, int)","1841","0"
"mb.statix.concurrent.StatixSolver.lambda$14(Function0, CompletableFuture) StatixSolver.java","1838","0"
"io.usethesource.capsule.core.PersistentTrieSet$CompactSetNode.contains(Object, int, int, EqualityComparator) PersistentTrieSet.java","1833","170"
"mb.nabl2.terms.unification.ud.Diseq.of(Iterable, IUnifier$Immutable) Diseq.java","1820","42"
"io.usethesource.capsule.core.PersistentTrieSet$BitmapIndexedSetNode.copyAndMigrateFromInlineToNode(AtomicReference, int, PersistentTrieSet$AbstractSetNode) PersistentTrieSet.java","1820","827"
"io.usethesource.capsule.core.PersistentTrieSet$AbstractSetIterator.hasNext() PersistentTrieSet.java","1814","662"
"java.util.HashSet.add(Object) HashSet.java","1805","1462"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$RemoveAll.apply() PersistentUnifier.java","1796","38"
"mb.nabl2.terms.unification.u.BaseUnifier.findTerm(ITerm) BaseUnifier.java","1783","51"
"com.google.common.collect.ImmutableList.of(Object) ImmutableList.java","1774","1758"
"io.usethesource.capsule.util.EqualityComparator$$Lambda$12.equals(Object, Object)","1763","78"
"io.usethesource.capsule.core.PersistentTrieMap.asTransient() PersistentTrieMap.java","1762","540"
"mb.nabl2.terms.unification.u.PersistentUnifier$Immutable$Unify.occursCheck(PersistentUnifier$Immutable) PersistentUnifier.java","1748","0"
"mb.nabl2.terms.build.AbstractApplTerm.hashCode() AbstractApplTerm.java","1745","344"
